Probe	Chromosome	Start	End	Probe Strand	H3K9me2_Untreated-unique	H3K9me2_VitC-unique
Random	1	63185354	63190353		39	69
Random	1	63359741	63364740		73	55
Random	1	63855673	63860672		30	65
Random	1	64094194	64099193		52	30
Random	1	64167586	64172585		61	42
Random	1	64258511	64263510		65	151
Random	1	64698116	64703115		36	29
Random	1	65250838	65255837		27	50
Random	1	66460884	66465883		88	47
Random	1	69013265	69018264		71	90
Random	1	69035505	69040504		61	54
Random	1	69523833	69528832		84	104
Random	1	71997269	72002268		101	47
Random	1	72298211	72303210		60	29
Random	1	72302035	72307034		32	30
Random	1	72633428	72638427		46	38
Random	1	74147692	74152691		82	52
Random	1	75464261	75469260		12	17
Random	1	75514928	75519927		17	15
Random	1	75561662	75566661		49	47
Random	1	76027644	76032643		34	49
Random	1	76707526	76712525		74	49
Random	1	77099544	77104543		55	31
Random	1	77116153	77121152		74	86
Random	1	78156182	78161181		34	26
Random	1	78164206	78169205		52	33
Random	1	78414535	78419534		30	20
Random	1	78842979	78847978		76	52
Random	1	78996965	79001964		96	97
Random	1	79502758	79507757		100	176
Random	1	80150343	80155342		78	42
Random	1	80713216	80718215		107	66
Random	1	80921066	80926065		87	69
Random	1	81579139	81584138		72	111
Random	1	82168751	82173750		92	122
Random	1	82217180	82222179		75	65
Random	1	83191755	83196754		95	52
Random	1	84758747	84763746		27	48
Random	1	86423747	86428746		29	27
Random	1	86752161	86757160		48	41
Random	1	86965085	86970084		55	36
Random	1	87379801	87384800		29	31
Random	1	88669032	88674031		42	33
Random	1	88683376	88688375		95	78
Random	1	88866873	88871872		52	39
Random	1	88889581	88894580		77	58
Random	1	88990722	88995721		65	41
Random	1	90795929	90800928		97	45
Random	1	91365778	91370777		20	15
Random	1	92234921	92239920		96	53
Random	1	92470330	92475329		9	12
Random	1	93272814	93277813		41	27
Random	1	93285622	93290621		30	26
Random	1	94215604	94220603		65	54
Random	1	95864839	95869838		67	111
Random	1	96012222	96017221		88	79
Random	1	97026632	97031631		50	47
Random	1	97118349	97123348		45	73
Random	1	97846923	97851922		72	41
Random	1	98502005	98507004		102	113
Random	1	98512925	98517924		79	67
Random	1	99402692	99407691		84	104
Random	1	99965902	99970901		84	90
Random	1	100697225	100702224		84	63
Random	1	101732676	101737675		52	54
Random	1	101879779	101884778		76	101
Random	1	102510729	102515728		69	91
Random	1	102777169	102782168		93	102
Random	1	103364177	103369176		79	123
Random	1	103681772	103686771		83	109
Random	1	104711021	104716020		78	92
Random	1	104834751	104839750		81	128
Random	1	104858588	104863587		92	74
Random	1	107472663	107477662		62	43
Random	1	107711402	107716401		63	54
Random	1	107768003	107773002		95	83
Random	1	109315246	109320245		65	109
Random	1	111171292	111176291		41	56
Random	1	112062718	112067717		74	62
Random	1	112131922	112136921		63	54
Random	1	112775322	112780321		33	68
Random	1	113527429	113532428		85	113
Random	1	114562883	114567882		130	215
Random	1	115032943	115037942		91	155
Random	1	115741591	115746590		76	85
Random	1	116183671	116188670		113	102
Random	1	116234452	116239451		98	83
Random	1	116343059	116348058		87	150
Random	1	116647858	116652857		8	9
Random	1	117240758	117245757		92	75
Random	1	118188904	118193903		105	201
Random	1	118950980	118955979		31	18
Random	1	119364452	119369451		46	42
Random	1	122186070	122191069		95	118
Random	1	122842384	122847383		72	42
Random	1	123444314	123449313		58	91
Random	1	124383534	124388533		90	99
Random	1	125066679	125071678		94	120
Random	1	125173324	125178323		81	100
Random	1	125389113	125394112		28	35
Random	1	125562951	125567950		33	33
Random	1	126292177	126297176		66	98
Random	1	126562242	126567241		70	42
Random	1	126600887	126605886		71	55
Random	1	126697931	126702930		96	54
Random	1	126773117	126778116		2	9
Random	1	126904157	126909156		95	52
Random	1	127875403	127880402		2	3
Random	1	127946653	127951652		51	65
Random	1	128010103	128015102		54	44
Random	1	128207518	128212517		42	53
Random	1	129237214	129242213		79	64
Random	1	129467412	129472411		66	69
Random	1	129620882	129625881		110	111
Random	1	129749752	129754751		90	77
Random	1	131735203	131740202		86	83
Random	1	132501791	132506790		24	26
Random	1	132951899	132956898		94	67
Random	1	133554265	133559264		63	38
Random	1	133802301	133807300		47	29
Random	1	134143092	134148091		34	27
Random	1	134167701	134172700		60	81
Random	1	134428849	134433848		18	25
Random	1	135271654	135276653		25	29
Random	1	136077462	136082461		52	44
Random	1	136267563	136272562		29	33
Random	1	136383204	136388203		58	50
Random	1	136649291	136654290		41	40
Random	1	136966455	136971454		65	62
Random	1	138581589	138586588		68	50
Random	1	139184697	139189696		75	61
Random	1	139524917	139529916		65	45
Random	1	139768050	139773049		97	84
Random	1	140172792	140177791		34	44
Random	1	140282487	140287486		55	50
Random	1	141004359	141009358		61	78
Random	1	141374680	141379679		56	142
Random	1	142197360	142202359		59	65
Random	1	142312681	142317680		67	152
Random	1	142687759	142692758		74	102
Random	1	143195614	143200613		94	78
Random	1	143886076	143891075		98	114
Random	1	145109419	145114418		59	133
Random	1	145239825	145244824		95	109
Random	1	145613788	145618787		81	92
Random	1	145630566	145635565		54	88
Random	1	145871108	145876107		71	129
Random	1	146030324	146035323		67	117
Random	1	146918773	146923772		97	103
Random	1	148611893	148616892		73	91
Random	1	148767030	148772029		42	52
Random	1	149064548	149069547		69	74
Random	1	149084721	149089720		51	69
Random	1	150832426	150837425		82	73
Random	1	151439937	151444936		19	43
Random	1	151826137	151831136		74	77
Random	1	152181755	152186754		90	62
Random	1	152471215	152476214		76	62
Random	1	154091869	154096868		20	36
Random	1	154875053	154880052		84	62
Random	1	155207098	155212097		39	22
Random	1	155400624	155405623		51	31
Random	1	155405671	155410670		37	44
Random	1	155850284	155855283		50	51
Random	1	156061717	156066716		26	23
Random	1	156714794	156719793		17	23
Random	1	157883270	157888269		71	87
Random	1	158863141	158868140		60	62
Random	1	159166031	159171030		103	121
Random	1	159301837	159306836		31	27
Random	1	159568291	159573290		101	59
Random	1	160223143	160228142		39	42
Random	1	160487782	160492781		78	56
Random	1	161029323	161034322		15	25
Random	1	161151364	161156363		55	110
Random	1	162044238	162049237		70	34
Random	1	162102575	162107574		94	75
Random	1	162131255	162136254		80	68
Random	1	162634809	162639808		55	31
Random	1	162947196	162952195		80	66
Random	1	163026418	163031417		104	106
Random	1	163690440	163695439		98	140
Random	1	164170651	164175650		78	73
Random	1	164437393	164442392		21	19
Random	1	165249158	165254157		20	33
Random	1	165646364	165651363		39	39
Random	1	166121791	166126790		35	58
Random	1	166746670	166751669		89	94
Random	1	167350277	167355276		24	25
Random	1	169005853	169010852		111	120
Random	1	169681648	169686647		77	86
Random	1	170601258	170606257		75	41
Random	1	171599908	171604907		95	47
Random	1	171719795	171724794		62	122
Random	1	171732744	171737743		95	98
Random	1	172122599	172127598		20	20
Random	1	173084207	173089206		84	90
Random	1	173140349	173145348		76	90
Random	1	173250663	173255662		69	62
Random	1	173566827	173571826		71	149
Random	1	173806102	173811101		95	85
Random	1	175007032	175012031		33	24
Random	1	176253768	176258767		91	105
Random	1	176391983	176396982		90	97
Random	1	177313116	177318115		100	48
Random	1	178006621	178011620		27	68
Random	1	180568842	180573841		14	12
Random	1	181731023	181736022		74	43
Random	1	182388388	182393387		43	45
Random	1	183194817	183199816		44	33
Random	1	184261809	184266808		36	13
Random	1	184352795	184357794		85	63
Random	1	184540621	184545620		59	47
Random	1	185641085	185646084		90	81
Random	1	185915009	185920008		90	70
Random	1	187780083	187785082		41	37
Random	1	187786830	187791829		61	69
Random	1	188075514	188080513		85	69
Random	1	189342263	189347262		46	30
Random	1	190085868	190090867		80	43
Random	1	190369537	190374536		88	68
Random	1	191340769	191345768		54	80
Random	1	191544950	191549949		23	29
Random	1	191848973	191853972		58	64
Random	1	193346420	193351419		76	32
Random	1	193525138	193530137		80	92
Random	1	194162526	194167525		82	88
Random	2	976044	981043		0	0
Random	2	1021353	1026352		0	0
Random	2	1480513	1485512		0	0
Random	2	1484534	1489533		0	0
Random	2	1753623	1758622		0	0
Random	2	3199873	3204872		74	49
Random	2	3418420	3423419		12	17
Random	2	3760923	3765922		78	43
Random	2	4039070	4044069		125	96
Random	2	4855558	4860557		29	22
Random	2	5720754	5725753		41	36
Random	2	5862249	5867248		26	37
Random	2	6858369	6863368		70	54
Random	2	7097334	7102333		99	63
Random	2	7822502	7827501		82	84
Random	2	9478056	9483055		102	59
Random	2	11325534	11330533		39	35
Random	2	11841482	11846481		75	58
Random	2	13682513	13687512		60	40
Random	2	14348081	14353080		75	100
Random	2	15127419	15132418		84	81
Random	2	15712713	15717712		77	84
Random	2	15780139	15785138		112	92
Random	2	16218954	16223953		100	69
Random	2	17133903	17138902		64	68
Random	2	17308214	17313213		86	68
Random	2	17694782	17699781		81	64
Random	2	17843595	17848594		36	31
Random	2	18393421	18398420		70	78
Random	2	18435824	18440823		54	43
Random	2	18615976	18620975		52	32
Random	2	20005798	20010797		85	80
Random	2	20499067	20504066		61	98
Random	2	23097363	23102362		38	44
Random	2	23471634	23476633		79	56
Random	2	24227811	24232810		106	165
Random	2	24394404	24399403		63	45
Random	2	24622404	24627403		58	29
Random	2	25813992	25818991		41	23
Random	2	30161120	30166119		35	55
Random	2	31048076	31053075		18	23
Random	2	32603095	32608094		9	15
Random	2	32832853	32837852		8	29
Random	2	33011317	33016316		38	37
Random	2	33566143	33571142		27	19
Random	2	34926539	34931538		22	10
Random	2	34986240	34991239		64	26
Random	2	35168046	35173045		25	29
Random	2	35491546	35496545		29	38
Random	2	36158398	36163397		38	24
Random	2	36201881	36206880		19	31
Random	2	36513916	36518915		49	103
Random	2	36781635	36786634		79	115
Random	2	37136231	37141230		74	99
Random	2	37164722	37169721		124	231
Random	2	37737067	37742066		45	29
Random	2	38165054	38170053		42	45
Random	2	38217039	38222038		46	32
Random	2	38382088	38387087		67	41
Random	2	38387372	38392371		62	30
Random	2	39038333	39043332		56	42
Random	2	40085917	40090916		60	55
Random	2	40794014	40799013		79	68
Random	2	40822009	40827008		57	82
Random	2	41039228	41044227		65	63
Random	2	41940066	41945065		78	85
Random	2	41965449	41970448		67	88
Random	2	41987601	41992600		93	145
Random	2	42091388	42096387		57	61
Random	2	42281004	42286003		84	67
Random	2	42479335	42484334		60	58
Random	2	43794429	43799428		87	45
Random	2	43835202	43840201		73	48
Random	2	44032580	44037579		88	80
Random	2	44575424	44580423		80	45
Random	2	45110170	45115169		8	11
Random	2	45410071	45415070		68	44
Random	2	45662928	45667927		97	90
Random	2	46839446	46844445		48	111
Random	2	47172501	47177500		69	110
Random	2	47208194	47213193		84	107
Random	2	47680390	47685389		70	92
Random	2	48579052	48584051		1	2
Random	2	49320847	49325846		75	64
Random	2	49568219	49573218		40	36
Random	2	50039219	50044218		84	56
Random	2	52303717	52308716		90	63
Random	2	52512781	52517780		76	52
Random	2	52886434	52891433		43	34
Random	2	53109396	53114395		28	26
Random	2	55109579	55114578		85	61
Random	2	56167947	56172946		70	74
Random	2	56307092	56312091		64	55
Random	2	57895855	57900854		65	65
Random	2	58153278	58158277		93	65
Random	2	58944487	58949486		68	50
Random	2	59456782	59461781		96	89
Random	2	59567849	59572848		75	102
Random	2	59603912	59608911		28	28
Random	2	60076167	60081166		19	20
Random	2	60129708	60134707		21	23
Random	2	61239285	61244284		86	72
Random	2	62652582	62657581		20	33
Random	2	63027942	63032941		72	74
Random	2	63482396	63487395		29	24
Random	2	63573260	63578259		55	57
Random	2	64251310	64256309		89	109
Random	2	64965388	64970387		53	36
Random	2	65304788	65309787		102	77
Random	2	66252295	66257294		38	34
Random	2	67233930	67238929		44	38
Random	2	67377730	67382729		94	82
Random	2	67531646	67536645		54	37
Random	2	67737410	67742409		94	92
Random	2	68803714	68808713		40	30
Random	2	69144160	69149159		69	44
Random	2	70166983	70171982		75	47
Random	2	70332266	70337265		22	24
Random	2	70625918	70630917		64	59
Random	2	70839270	70844269		55	49
Random	2	71833447	71838446		17	22
Random	2	71956547	71961546		27	31
Random	2	72105740	72110739		53	35
Random	2	72536851	72541850		74	57
Random	2	72679528	72684527		82	68
Random	2	72934183	72939182		27	27
Random	2	73556677	73561676		58	50
Random	2	74822769	74827768		32	27
Random	2	74923485	74928484		78	39
Random	2	76648244	76653243		32	32
Random	2	78208884	78213883		82	73
Random	2	78863451	78868450		41	26
Random	2	79758347	79763346		80	58
Random	2	80538008	80543007		29	30
Random	2	80870892	80875891		56	67
Random	2	81103332	81108331		63	59
Random	2	82185384	82190383		85	123
Random	2	82713175	82718174		79	104
Random	2	82759249	82764248		72	145
Random	2	83202435	83207434		98	123
Random	2	83202676	83207675		90	118
Random	2	83733260	83738259		24	24
Random	2	84221965	84226964		84	70
Random	2	84495420	84500419		58	53
Random	2	84895346	84900345		50	72
Random	2	85193651	85198650		78	60
Random	2	85362369	85367368		91	100
Random	2	85603503	85608502		69	63
Random	2	87917428	87922427		97	119
Random	2	88211800	88216799		85	106
Random	2	88223110	88228109		72	87
Random	2	89173300	89178299		61	112
Random	2	89406469	89411468		76	78
Random	2	90292986	90297985		76	91
Random	2	90739123	90744122		26	43
Random	2	90830954	90835953		20	30
Random	2	91380300	91385299		49	30
Random	2	92011163	92016162		20	20
Random	2	92778368	92783367		59	39
Random	2	92927726	92932725		68	60
Random	2	94446834	94451833		101	63
Random	2	95143076	95148075		58	141
Random	2	95856596	95861595		67	89
Random	2	96121382	96126381		93	169
Random	2	96155126	96160125		76	99
Random	2	96563952	96568951		54	71
Random	2	97647583	97652582		59	104
Random	2	97718096	97723095		76	70
Random	2	97976645	97981644		50	34
Random	2	98695577	98700576		82	96
Random	2	99995348	100000347		58	75
Random	2	100159487	100164486		58	84
Random	2	100259443	100264442		73	65
Random	2	100921040	100926039		67	66
Random	2	101342859	101347858		16	30
Random	2	101465571	101470570		88	45
Random	2	103345894	103350893		21	14
Random	2	103562776	103567775		11	22
Random	2	104050507	104055506		57	37
Random	2	104269315	104274314		73	48
Random	2	104554592	104559591		32	67
Random	2	104899383	104904382		70	56
Random	2	105997742	106002741		30	23
Random	2	106054652	106059651		99	84
Random	2	106734539	106739538		74	60
Random	2	107685598	107690597		67	90
Random	2	107762401	107767400		95	101
Random	2	108056931	108061930		114	161
Random	2	108797252	108802251		96	100
Random	2	109569668	109574667		80	97
Random	2	110173408	110178407		68	53
Random	2	111860562	111865561		17	16
Random	2	112345957	112350956		35	30
Random	2	112450087	112455086		21	22
Random	2	113474381	113479380		46	19
Random	2	113978696	113983695		77	45
Random	2	114697229	114702228		76	46
Random	2	116314915	116319914		76	50
Random	2	116390514	116395513		57	77
Random	2	117770206	117775205		71	102
Random	2	118281821	118286820		43	33
Random	2	120181933	120186932		21	25
Random	2	120316855	120321854		29	18
Random	2	120323724	120328723		30	26
Random	2	120440511	120445510		87	52
Random	2	120532406	120537405		23	30
Random	2	120670256	120675255		27	30
Random	2	121182201	121187200		15	33
Random	2	121872341	121877340		28	29
Random	2	122266523	122271522		83	96
Random	2	123326374	123331373		83	101
Random	2	123799098	123804097		74	55
Random	2	124536975	124541974		93	104
Random	2	126615514	126620513		33	28
Random	2	126744996	126749995		20	26
Random	2	126866029	126871028		25	46
Random	2	128624693	128629692		30	26
Random	2	128958209	128963208		36	49
Random	2	129069487	129074486		59	33
Random	2	129879568	129884567		35	50
Random	2	131084225	131089224		45	44
Random	2	133175730	133180729		74	62
Random	2	133419694	133424693		96	64
Random	2	134458034	134463033		76	53
Random	2	134662064	134667063		3	4
Random	2	134997229	135002228		75	57
Random	2	135123813	135128812		66	55
Random	2	135222424	135227423		99	86
Random	2	135340362	135345361		91	42
Random	2	137976914	137981913		59	26
Random	2	139780563	139785562		66	50
Random	2	139844359	139849358		87	58
Random	2	139957682	139962681		62	45
Random	2	140500512	140505511		66	37
Random	2	140801892	140806891		69	55
Random	2	141678642	141683641		109	175
Random	2	142011212	142016211		106	146
Random	2	142294608	142299607		100	94
Random	2	143250936	143255935		99	177
Random	2	144261063	144266062		8	21
Random	2	144266911	144271910		8	7
Random	2	144640488	144645487		71	51
Random	2	144821738	144826737		80	75
Random	2	145430514	145435513		117	92
Random	2	146741921	146746920		73	44
Random	2	147234852	147239851		71	54
Random	2	147271786	147276785		89	52
Random	2	147333709	147338708		77	49
Random	2	148111113	148116112		20	14
Random	2	148409612	148414611		22	44
Random	2	148737678	148742677		63	67
Random	2	148915467	148920466		94	149
Random	2	149764962	149769961		87	60
Random	2	150272266	150277265		83	134
Random	2	150463174	150468173		65	126
Random	2	150967353	150972352		58	25
Random	2	151041005	151046004		55	40
Random	2	151767386	151772385		68	44
Random	2	151961480	151966479		16	16
Random	2	152807401	152812400		16	12
Random	2	153544202	153549201		21	16
Random	2	153759215	153764214		36	23
Random	2	153841487	153846486		74	82
Random	2	154543289	154548288		37	19
Random	2	155162832	155167831		29	30
Random	2	155954506	155959505		16	16
Random	2	156197599	156202598		9	14
Random	2	156583345	156588344		17	13
Random	2	157071889	157076888		21	15
Random	2	157076053	157081052		27	15
Random	2	159054149	159059148		30	17
Random	2	160734557	160739556		42	25
Random	2	160928154	160933153		91	73
Random	2	161442093	161447092		98	106
Random	2	161876627	161881626		87	113
Random	2	161926717	161931716		85	95
Random	2	163380120	163385119		35	41
Random	2	163472718	163477717		22	24
Random	2	164725702	164730701		28	20
Random	2	165562366	165567365		41	32
Random	2	165717786	165722785		20	27
Random	2	166598386	166603385		22	31
Random	2	169022940	169027939		56	100
Random	2	169153267	169158266		73	51
Random	2	169399609	169404608		79	55
Random	2	170092489	170097488		39	52
Random	2	170283098	170288097		23	28
Random	2	170420350	170425349		26	29
Random	2	170656221	170661220		35	20
Random	2	171868391	171873390		53	42
Random	2	173287582	173292581		35	35
Random	2	173414019	173419018		16	16
Random	2	173631481	173636480		39	46
Random	2	173681170	173686169		28	38
Random	2	174044782	174049781		73	110
Random	2	175698237	175703236		0	0
Random	2	175766446	175771445		0	0
Random	2	176192127	176197126		0	0
Random	2	176381357	176386356		0	0
Random	2	176547400	176552399		0	0
Random	2	176759464	176764463		55	81
Random	2	176873010	176878009		0	0
Random	2	177005432	177010431		0	0
Random	2	177448155	177453154		60	98
Random	2	177802141	177807140		8	10
Random	2	178575465	178580464		74	83
Random	2	179093114	179098113		76	60
Random	2	179486016	179491015		81	49
Random	2	180207964	180212963		24	26
Random	2	180268370	180273369		19	18
Random	2	180925698	180930697		36	30
Random	3	623077	628076		0	0
Random	3	1068895	1073894		0	0
Random	3	1698106	1703105		0	0
Random	3	1780553	1785552		0	0
Random	3	1976321	1981320		0	0
Random	3	2842740	2847739		0	0
Random	3	3377038	3382037		65	74
Random	3	3463207	3468206		53	50
Random	3	4311432	4316431		79	108
Random	3	5198532	5203531		40	50
Random	3	5419969	5424968		95	57
Random	3	6290553	6295552		62	47
Random	3	6323261	6328260		69	141
Random	3	7145231	7150230		90	192
Random	3	7542885	7547884		63	113
Random	3	8040506	8045505		60	67
Random	3	9128076	9133075		44	26
Random	3	9227945	9232944		61	42
Random	3	10642331	10647330		77	77
Random	3	10906204	10911203		83	170
Random	3	11003271	11008270		65	69
Random	3	11026561	11031560		86	63
Random	3	11166700	11171699		61	40
Random	3	11789002	11794001		40	69
Random	3	12609030	12614029		71	134
Random	3	12701937	12706936		85	116
Random	3	13711883	13716882		57	58
Random	3	14756510	14761509		96	83
Random	3	15565617	15570616		70	103
Random	3	15609027	15614026		30	20
Random	3	17052179	17057178		79	140
Random	3	17973494	17978493		55	51
Random	3	18163641	18168640		40	38
Random	3	19612754	19617753		81	67
Random	3	20140797	20145796		55	32
Random	3	20804412	20809411		39	47
Random	3	20997167	21002166		87	131
Random	3	21012153	21017152		25	25
Random	3	21464471	21469470		73	33
Random	3	21561878	21566877		47	55
Random	3	22079658	22084657		30	31
Random	3	22530694	22535693		84	82
Random	3	22947463	22952462		54	82
Random	3	25494102	25499101		78	61
Random	3	25595209	25600208		75	53
Random	3	25692066	25697065		85	62
Random	3	26680514	26685513		65	58
Random	3	27087663	27092662		61	102
Random	3	27316452	27321451		42	24
Random	3	27525445	27530444		27	20
Random	3	27735337	27740336		56	36
Random	3	27795976	27800975		74	100
Random	3	27803544	27808543		108	195
Random	3	29679707	29684706		84	116
Random	3	30120132	30125131		78	77
Random	3	30906561	30911560		48	35
Random	3	30931380	30936379		25	26
Random	3	30997573	31002572		22	22
Random	3	31146292	31151291		30	29
Random	3	31383547	31388546		90	112
Random	3	31642919	31647918		77	91
Random	3	32130634	32135633		61	42
Random	3	33069854	33074853		102	69
Random	3	33344849	33349848		73	83
Random	3	33351813	33356812		114	91
Random	3	33541265	33546264		95	173
Random	3	33586658	33591657		74	60
Random	3	33690873	33695872		79	96
Random	3	33895461	33900460		79	61
Random	3	34136997	34141996		91	72
Random	3	34376450	34381449		48	53
Random	3	35331462	35336461		35	29
Random	3	36130122	36135121		81	138
Random	3	36459204	36464203		51	41
Random	3	36711614	36716613		74	49
Random	3	36993821	36998820		31	48
Random	3	37644440	37649439		22	31
Random	3	37779690	37784689		91	49
Random	3	37873333	37878332		75	48
Random	3	38014533	38019532		86	48
Random	3	38130752	38135751		95	80
Random	3	38566633	38571632		48	42
Random	3	39003585	39008584		67	43
Random	3	39128427	39133426		92	72
Random	3	39493790	39498789		90	85
Random	3	42766429	42771428		87	99
Random	3	43660936	43665935		52	79
Random	3	44435453	44440452		55	53
Random	3	44544898	44549897		83	154
Random	3	44964393	44969392		71	55
Random	3	45337759	45342758		68	75
Random	3	46832532	46837531		54	58
Random	3	47719660	47724659		78	76
Random	3	47939409	47944408		85	86
Random	3	48829207	48834206		57	57
Random	3	49290938	49295937		77	92
Random	3	49378947	49383946		66	101
Random	3	49691139	49696138		75	75
Random	3	49695578	49700577		61	93
Random	3	50699167	50704166		65	94
Random	3	50942725	50947724		78	64
Random	3	51202485	51207484		29	32
Random	3	51866041	51871040		60	25
Random	3	52306087	52311086		45	33
Random	3	52404444	52409443		21	24
Random	3	52761610	52766609		88	71
Random	3	52906188	52911187		65	27
Random	3	53312398	53317397		66	30
Random	3	53536928	53541927		80	83
Random	3	53711299	53716298		42	38
Random	3	53887348	53892347		58	89
Random	3	54128677	54133676		60	56
Random	3	54157910	54162909		59	36
Random	3	54593715	54598714		58	59
Random	3	54762301	54767300		31	42
Random	3	55242036	55247035		40	30
Random	3	55415384	55420383		36	22
Random	3	56836185	56841184		60	46
Random	3	56946380	56951379		92	98
Random	3	58105497	58110496		87	79
Random	3	58661485	58666484		69	69
Random	3	59553574	59558573		86	146
Random	3	59661355	59666354		78	186
Random	3	60683438	60688437		65	112
Random	3	60708582	60713581		67	77
Random	3	61815997	61820996		59	30
Random	3	61923739	61928738		64	60
Random	3	61929989	61934988		63	43
Random	3	62391884	62396883		53	42
Random	3	63351318	63356317		49	37
Random	3	63964174	63969173		35	49
Random	3	64319993	64324992		62	104
Random	3	65175197	65180196		129	89
Random	3	65228605	65233604		93	64
Random	3	65711853	65716852		73	49
Random	3	65962641	65967640		45	23
Random	3	66173729	66178728		128	81
Random	3	66194890	66199889		102	77
Random	3	67292890	67297889		21	14
Random	3	68679450	68684449		46	39
Random	3	68905304	68910303		35	31
Random	3	69059217	69064216		42	23
Random	3	69826994	69831993		61	38
Random	3	69985826	69990825		86	75
Random	3	70492833	70497832		57	49
Random	3	72098104	72103103		71	142
Random	3	72701486	72706485		34	84
Random	3	73972760	73977759		64	58
Random	3	75307517	75312516		96	103
Random	3	75814348	75819347		67	86
Random	3	76390003	76395002		70	95
Random	3	76509287	76514286		63	87
Random	3	77378604	77383603		78	145
Random	3	77707798	77712797		5	9
Random	3	78082740	78087739		81	97
Random	3	78188298	78193297		89	140
Random	3	79918520	79923519		69	54
Random	3	79947192	79952191		90	76
Random	3	80546969	80551968		107	60
Random	3	80677068	80682067		83	135
Random	3	80765868	80770867		77	89
Random	3	82492432	82497431		104	75
Random	3	83404114	83409113		100	190
Random	3	84686562	84691561		20	33
Random	3	84712600	84717599		47	38
Random	3	84823037	84828036		26	21
Random	3	85722364	85727363		51	37
Random	3	85739564	85744563		84	47
Random	3	85843536	85848535		54	46
