Probe	Chromosome	Start	End	Probe Strand	H3K9me2_Untreated-unique	H3K9me2_VitC-unique	input_DNA_Untreated-unique	input_DNA_VitC-unique
L1Md_A_downstream	1	68411056	68416056	+	1.511669278	0.975731492	1.032444835	0.962567747
L1Md_A_downstream	1	68474527	68479527	+	1.360502362	2.007219076	1.249801636	1.443851709
L1Md_T_downstream	1	68578035	68583035	-	1.995403409	1.226633906	1.521497726	1.698649049
L1Md_T_downstream	1	68603866	68608866	+	1.330268979	1.003609538	1.005275249	1.160743475
L1Md_T_downstream	1	68630510	68635510	+	1.088401914	1.19875586	1.222632051	1.415540814
L1Md_A_downstream	1	69196914	69201914	+	1.844236493	1.031487584	1.222632051	1.528784156
L1Md_T_downstream	1	69237522	69242522	+	0.725601256	1.282389998	1.005275249	1.330608368
L1Md_A_downstream	1	69945700	69950700	+	2.267503977	1.533292294	1.249801636	1.840203047
L1Md_T_downstream	1	69957760	69962760	-	2.358204126	2.425389767	1.766024113	1.642027378
L1Md_T_downstream	1	70214120	70219120	+	1.783769727	2.453267813	1.141123295	1.415540814
L1Md_A_downstream	1	70623945	70628945	-	2.358204126	2.369633675	1.793193698	1.557094932
L1Md_A_downstream	1	70975086	70980086	-	2.841938257	2.397511721	2.11922884	1.868513942
L1Md_A_downstream	1	71074638	71079638	-	1.14886868	1.56117034	1.603006482	1.811892271
L1Md_A_downstream	1	72537088	72542088	-	1.118635297	0.808463216	2.173568249	1.868513942
L1Md_T_downstream	1	73297113	73302113	+	2.448904276	1.589048386	1.874702573	1.415540814
L1Md_T_downstream	1	73312802	73317802	-	1.934936643	1.338145971	1.657345772	1.528784156
L1Md_T_downstream	1	73467700	73472700	-	1.390735745	1.142999768	1.11395371	1.132432699
L1Md_A_downstream	1	73544159	73549159	-	2.20703721	2.564779997	2.11922884	1.953446388
L1Md_A_downstream	1	73652316	73657316	+	2.509371042	1.923584938	1.766024113	1.557094932
L1Md_T_downstream	1	73890879	73895879	+	1.874469876	2.927194357	1.467158556	1.585405707
L1Md_T_downstream	1	75702807	75707807	-	1.360502362	1.226633906	1.738854527	1.783581495
L1Md_A_downstream	1	76317370	76322370	+	2.327970743	1.812072754	1.657345772	1.443851709
L1Md_T_downstream	1	76356711	76361711	+	1.904703259	2.285999537	1.603006482	1.528784156
L1Md_T_downstream	1	76465425	76470425	+	2.086103678	1.672682524	1.358480096	1.528784156
L1Md_A_downstream	1	77788732	77793732	+	3.144272089	2.285999537	1.793193698	1.472162485
L1Md_T_downstream	1	77931630	77936630	-	1.390735745	0.669072986	1.929041743	1.726959825
L1Md_T_downstream	1	78235864	78240864	-	2.086103678	1.756316662	1.575836897	1.726959825
L1Md_A_downstream	1	78944105	78949105	-	2.479137659	3.122340679	1.793193698	2.038378716
L1Md_A_downstream	1	78978836	78983836	-	2.660537958	2.202365398	1.901872158	1.868513942
L1Md_A_downstream	1	79034255	79039255	-	2.721004725	3.261730909	1.304140925	1.585405707
L1Md_A_downstream	1	79103981	79108981	+	2.569837809	2.397511721	1.766024113	1.698649049
L1Md_T_downstream	1	79115213	79120213	-	2.690771341	2.676291943	1.494328141	1.811892271
L1Md_T_downstream	1	79386314	79391314	+	2.267503977	2.397511721	1.630176067	1.415540814
