amp	pos	met	hmet	sample	exp
IAP1a_2	58	87.67123288	-3.012141968	VC	E14
IAP1a_2	66	94.49541284	-4.722685571	VC	E14
L1A	119	55.89123867	6.266737581	VC	E14
L1A	128	53.15151515	5.890215915	VC	E14
L1A	135	51.74488568	4.195960827	VC	E14
L1A	142	53.02214243	8.590925462	VC	E14
L1A	29	15.13513514	-2.507323274	VC	E14
L1A	47	46.08487747	5.266473886	VC	E14
L1A	49	40.36253776	5.068673735	VC	E14
L1A	51	49.5157385	9.01958899	VC	E14
L1A	66	47.38738739	6.052037664	VC	E14
L1A	90	48.53205512	8.712842836	VC	E14
L1Gf	109	39.77148224	7.225696322	VC	E14
L1Gf	117	46.99004582	6.735444375	VC	E14
L1Gf	22	37.31390064	6.861509635	VC	E14
L1Gf	59	31.10415035	3.753915032	VC	E14
L1Gf	62	48.16262705	8.078136081	VC	E14
L1Gf	65	37.84885544	6.84433404	VC	E14
L1Gf	83	51.00828513	10.04095678	VC	E14
L1Gf	91	46.85446009	5.912125993	VC	E14
L1Gf	93	47.85333751	5.185113685	VC	E14
L1Tf	100	10.18198572	5.244443523	VC	E14
L1Tf	104	9.263930291	7.156768382	VC	E14
L1Tf	117	14.82758621	7.98731179	VC	E14
L1Tf	124	5.83908046	6.228272206	VC	E14
L1Tf	127	12.96253735	11.49063147	VC	E14
L1Tf	22	10.54072553	8.216231798	VC	E14
L1Tf	32	7.525655644	4.148434927	VC	E14
L1Tf	43	9.477049555	9.086158168	VC	E14
L1Tf	63	8.098754038	6.874910371	VC	E14
L1Tf	67	7.544141252	6.674754913	VC	E14
L1Tf	79	8.664674787	6.145285894	VC	E14
RLTR4_MM	113	73.9625712	14.17950531	VC	E14
RLTR4_MM	118	82.23308883	3.996419362	VC	E14
RLTR4_MM	126	81.43322476	-2.623830982	VC	E14
RLTR4_MM	38	76.79153094	9.55472793	VC	E14
RLTR4_MM	41	78.16291161	12.20136571	VC	E14
RLTR4_MM	43	80.30919447	9.127039797	VC	E14
RLTR4_MM	54	82.49185668	11.00541108	VC	E14
RLTR4_MM	67	77.62408462	5.545314285	VC	E14
RLTR4_MM	71	79.41415785	4.465623569	VC	E14
RLTR4_MM	79	81.10749186	-2.868016734	VC	E14
EtnI	102	NA	NA	Ctrl	E14
EtnI	109	NA	NA	Ctrl	E14
EtnI	142	NA	NA	Ctrl	E14
EtnI	27	NA	NA	Ctrl	E14
EtnI	37	NA	NA	Ctrl	E14
EtnI	56	NA	NA	Ctrl	E14
EtnI	68	NA	NA	Ctrl	E14
EtnI	99	NA	NA	Ctrl	E14
IAP1a_2	129	89.68253968	0.793650794	Ctrl	E14
IAP1a_2	22	76.19047619	-5.100428797	Ctrl	E14
IAP1a_2	31	91.26984127	-7.46031746	Ctrl	E14
IAP1a_2	58	86.50793651	-2.854090354	Ctrl	E14
IAP1a_2	66	94.44444444	-2.53968254	Ctrl	E14
L1A	119	61.80021954	2.477739202	Ctrl	E14
L1A	128	61.39585605	-2.42566635	Ctrl	E14
L1A	135	57.79220779	0.806174957	Ctrl	E14
L1A	142	61.18918919	0.056114085	Ctrl	E14
L1A	29	13.68078176	1.356812226	Ctrl	E14
L1A	47	50.43478261	0.69303694	Ctrl	E14
L1A	49	42.48366013	2.116771835	Ctrl	E14
L1A	51	59.93449782	-0.525307445	Ctrl	E14
L1A	66	53.12157722	3.081227529	Ctrl	E14
L1A	90	56.6017316	1.100898565	Ctrl	E14
L1Gf	109	52.87356322	0.151772102	Ctrl	E14
L1Gf	117	57.86606129	1.878491674	Ctrl	E14
L1Gf	22	52.70635995	1.093938117	Ctrl	E14
L1Gf	59	37.5168995	-1.096317849	Ctrl	E14
L1Gf	62	63.43165954	3.403557597	Ctrl	E14
L1Gf	65	48.56106957	2.454462094	Ctrl	E14
L1Gf	83	66.69668993	0.986690515	Ctrl	E14
L1Gf	91	56.59612787	0.799705463	Ctrl	E14
L1Gf	93	57.15575621	0.532536111	Ctrl	E14
L1Tf	100	15.14500537	3.562847577	Ctrl	E14
L1Tf	104	16.12817089	4.001558835	Ctrl	E14
L1Tf	117	24.72571581	4.78283582	Ctrl	E14
L1Tf	124	12.73748997	4.030274333	Ctrl	E14
L1Tf	127	30.59861037	8.813027096	Ctrl	E14
L1Tf	22	22.72365277	4.55691656	Ctrl	E14
L1Tf	32	12.54309202	2.689265985	Ctrl	E14
L1Tf	43	20.09569378	5.281298896	Ctrl	E14
L1Tf	63	15.92682271	3.184094705	Ctrl	E14
L1Tf	67	17.69107429	2.790070051	Ctrl	E14
L1Tf	79	16.54195617	2.626334925	Ctrl	E14
RLTR4_MM	113	81.05413105	2.597420259	Ctrl	E14
RLTR4_MM	118	84.33048433	0.932045502	Ctrl	E14
RLTR4_MM	126	81.7403709	-0.904550003	Ctrl	E14
RLTR4_MM	38	89.44365193	-1.503353418	Ctrl	E14
RLTR4_MM	41	84.13897281	1.521404549	Ctrl	E14
RLTR4_MM	43	87.17948718	3.327975507	Ctrl	E14
RLTR4_MM	54	87.32193732	3.598014888	Ctrl	E14
RLTR4_MM	67	79.2022792	-0.562661064	Ctrl	E14
RLTR4_MM	71	85.32763533	2.366510431	Ctrl	E14
RLTR4_MM	79	77.35042735	3.485393545	Ctrl	E14
EtnI	102	NA	NA	VC	E14
EtnI	109	NA	NA	VC	E14
EtnI	142	NA	NA	VC	E14
EtnI	27	NA	NA	VC	E14
EtnI	37	NA	NA	VC	E14
EtnI	56	NA	NA	VC	E14
EtnI	68	NA	NA	VC	E14
EtnI	99	NA	NA	VC	E14
IAP1a_2	129	NA	NA	VC	E14
IAP1a_2	22	NA	NA	VC	E14
IAP1a_2	31	NA	NA	VC	E14
IAP1a_2	58	NA	NA	VC	E14
IAP1a_2	66	NA	NA	VC	E14
L1A	119	54.48460509	4.027939716	VC	E14
L1A	128	48.11827957	5.355499005	VC	E14
L1A	135	48.2260184	6.066017001	VC	E14
L1A	142	55.52631579	1.660769571	VC	E14
L1A	29	12.71523179	0.753975124	VC	E14
L1A	47	43.23607427	3.569604523	VC	E14
L1A	49	37.9814077	2.499019344	VC	E14
L1A	51	45.49125168	4.979389286	VC	E14
L1A	66	43.48993289	4.214035014	VC	E14
L1A	90	47.68211921	4.779078134	VC	E14
L1Gf	109	37.64832794	2.011985816	VC	E14
L1Gf	117	41.4288826	5.27261969	VC	E14
L1Gf	22	32.76457883	6.890369927	VC	E14
L1Gf	59	30.72432432	1.562205652	VC	E14
L1Gf	62	40.16411142	8.831612304	VC	E14
L1Gf	65	34.44540728	4.458631158	VC	E14
L1Gf	83	46.75296656	8.750788945	VC	E14
L1Gf	91	44.76643599	5.291891946	VC	E14
L1Gf	93	42.974492	4.981911268	VC	E14
L1Tf	100	7.048300537	5.276310764	VC	E14
L1Tf	104	5.610795455	6.077271011	VC	E14
L1Tf	117	9.957325747	7.239042017	VC	E14
L1Tf	124	3.589196873	4.911371094	VC	E14
L1Tf	127	7.402135231	9.176314674	VC	E14
L1Tf	22	6.741969643	6.940653802	VC	E14
L1Tf	32	4.724964739	3.356223008	VC	E14
L1Tf	43	5.755649718	8.263570181	VC	E14
L1Tf	63	4.939155333	6.121364493	VC	E14
L1Tf	67	4.404973357	5.42861212	VC	E14
L1Tf	79	5.836298932	6.410530521	VC	E14
RLTR4_MM	113	76.50429799	6.290222554	VC	E14
RLTR4_MM	118	84.24068768	-2.387617504	VC	E14
RLTR4_MM	126	73.17073171	5.776636714	VC	E14
RLTR4_MM	38	83.47701149	3.646276177	VC	E14
RLTR4_MM	41	79.33634992	6.428564429	VC	E14
RLTR4_MM	43	80.48780488	2.909455396	VC	E14
RLTR4_MM	54	84.67048711	4.858021666	VC	E14
RLTR4_MM	67	78.7965616	1.64179456	VC	E14
RLTR4_MM	71	77.6504298	7.664638694	VC	E14
RLTR4_MM	79	76.79083095	-0.268614818	VC	E14
EtnI	102	NA	NA	WT_VC	Kdm4_KO
EtnI	109	NA	NA	WT_VC	Kdm4_KO
EtnI	142	NA	NA	WT_VC	Kdm4_KO
EtnI	27	NA	NA	WT_VC	Kdm4_KO
EtnI	37	NA	NA	WT_VC	Kdm4_KO
EtnI	56	NA	NA	WT_VC	Kdm4_KO
EtnI	68	NA	NA	WT_VC	Kdm4_KO
EtnI	99	NA	NA	WT_VC	Kdm4_KO
IAP1a_2	129	80.64516129	3.388452155	WT_VC	Kdm4_KO
IAP1a_2	22	72.58064516	7.419354839	WT_VC	Kdm4_KO
IAP1a_2	31	83.87096774	3.629032258	WT_VC	Kdm4_KO
IAP1a_2	58	83.06451613	2.649769585	WT_VC	Kdm4_KO
IAP1a_2	66	91.12903226	2.148278666	WT_VC	Kdm4_KO
L1A	119	NA	NA	WT_VC	Kdm4_KO
L1A	128	NA	NA	WT_VC	Kdm4_KO
L1A	135	NA	NA	WT_VC	Kdm4_KO
L1A	142	NA	NA	WT_VC	Kdm4_KO
L1A	29	NA	NA	WT_VC	Kdm4_KO
L1A	47	NA	NA	WT_VC	Kdm4_KO
L1A	49	NA	NA	WT_VC	Kdm4_KO
L1A	51	NA	NA	WT_VC	Kdm4_KO
L1A	66	NA	NA	WT_VC	Kdm4_KO
L1A	90	NA	NA	WT_VC	Kdm4_KO
L1Gf	109	5.357902197	4.394936814	WT_VC	Kdm4_KO
L1Gf	117	6.082725061	4.666328482	WT_VC	Kdm4_KO
L1Gf	22	3.720005679	4.049585747	WT_VC	Kdm4_KO
L1Gf	59	7.325383305	4.552626326	WT_VC	Kdm4_KO
L1Gf	62	6.098081023	6.586087206	WT_VC	Kdm4_KO
L1Gf	65	4.887057821	4.986835391	WT_VC	Kdm4_KO
L1Gf	83	6.764997873	6.902336797	WT_VC	Kdm4_KO
L1Gf	91	8.695035461	7.907023087	WT_VC	Kdm4_KO
L1Gf	93	7.787409407	7.187141892	WT_VC	Kdm4_KO
L1Tf	100	1.810810811	1.962774095	WT_VC	Kdm4_KO
L1Tf	104	1.076136669	1.805874936	WT_VC	Kdm4_KO
L1Tf	117	1.615943981	2.238404267	WT_VC	Kdm4_KO
L1Tf	124	0.592353258	1.015239227	WT_VC	Kdm4_KO
L1Tf	127	1.104228387	1.028381152	WT_VC	Kdm4_KO
L1Tf	22	1.711687617	1.346592822	WT_VC	Kdm4_KO
L1Tf	32	0.85515767	0.915094399	WT_VC	Kdm4_KO
L1Tf	43	0.85538626	2.590897914	WT_VC	Kdm4_KO
L1Tf	63	0.676956404	1.498645772	WT_VC	Kdm4_KO
L1Tf	67	0.296655879	1.311559583	WT_VC	Kdm4_KO
L1Tf	79	0.862068966	1.732818718	WT_VC	Kdm4_KO
RLTR4_MM	113	77.50582751	0.382259137	WT_VC	Kdm4_KO
RLTR4_MM	118	73.89277389	3.183038382	WT_VC	Kdm4_KO
RLTR4_MM	126	68.14469078	9.111626908	WT_VC	Kdm4_KO
RLTR4_MM	38	71.56177156	5.24328259	WT_VC	Kdm4_KO
RLTR4_MM	41	82.38039673	4.623213376	WT_VC	Kdm4_KO
RLTR4_MM	43	81.44690782	4.383417092	WT_VC	Kdm4_KO
RLTR4_MM	54	76.10722611	7.737539236	WT_VC	Kdm4_KO
RLTR4_MM	67	78.32167832	0.540110296	WT_VC	Kdm4_KO
RLTR4_MM	71	70.94515753	6.993359653	WT_VC	Kdm4_KO
RLTR4_MM	79	64.1025641	7.82884384	WT_VC	Kdm4_KO
EtnI	102	NA	NA	KO_Ctrl	Kdm4_KO
EtnI	109	NA	NA	KO_Ctrl	Kdm4_KO
EtnI	142	NA	NA	KO_Ctrl	Kdm4_KO
EtnI	27	NA	NA	KO_Ctrl	Kdm4_KO
EtnI	37	NA	NA	KO_Ctrl	Kdm4_KO
EtnI	56	NA	NA	KO_Ctrl	Kdm4_KO
EtnI	68	NA	NA	KO_Ctrl	Kdm4_KO
EtnI	99	NA	NA	KO_Ctrl	Kdm4_KO
IAP1a_2	129	84.86842105	0.601664417	KO_Ctrl	Kdm4_KO
IAP1a_2	22	80.39215686	1.811232968	KO_Ctrl	Kdm4_KO
IAP1a_2	31	88.88888889	1.789077213	KO_Ctrl	Kdm4_KO
IAP1a_2	58	88.81578947	1.782501125	KO_Ctrl	Kdm4_KO
IAP1a_2	66	94.07894737	0.792847503	KO_Ctrl	Kdm4_KO
L1A	119	75.98849748	5.837986534	KO_Ctrl	Kdm4_KO
L1A	128	65.86956522	4.808873444	KO_Ctrl	Kdm4_KO
L1A	135	69.08177905	5.371772859	KO_Ctrl	Kdm4_KO
L1A	142	72.87651677	5.415944625	KO_Ctrl	Kdm4_KO
L1A	29	10.59413028	-0.194493585	KO_Ctrl	Kdm4_KO
L1A	47	71.09038737	3.989194254	KO_Ctrl	Kdm4_KO
L1A	49	67.64917326	3.831798775	KO_Ctrl	Kdm4_KO
L1A	51	72.3465704	4.35379725	KO_Ctrl	Kdm4_KO
L1A	66	68.08972504	5.843271751	KO_Ctrl	Kdm4_KO
L1A	90	65.13629842	7.03800934	KO_Ctrl	Kdm4_KO
L1Gf	109	37.30745533	4.849687528	KO_Ctrl	Kdm4_KO
L1Gf	117	44.12772586	3.44733188	KO_Ctrl	Kdm4_KO
L1Gf	22	31.57327586	5.774743019	KO_Ctrl	Kdm4_KO
L1Gf	59	36.47421093	-1.607763281	KO_Ctrl	Kdm4_KO
L1Gf	62	43.52977381	4.853168375	KO_Ctrl	Kdm4_KO
L1Gf	65	38.84514436	2.281575827	KO_Ctrl	Kdm4_KO
L1Gf	83	49.03047091	3.622124636	KO_Ctrl	Kdm4_KO
L1Gf	91	47.8046526	2.330926111	KO_Ctrl	Kdm4_KO
L1Gf	93	45.82754897	4.494385494	KO_Ctrl	Kdm4_KO
L1Tf	100	18.2912844	2.208852997	KO_Ctrl	Kdm4_KO
L1Tf	104	14.57142857	2.570644934	KO_Ctrl	Kdm4_KO
L1Tf	117	19.99425452	3.838804234	KO_Ctrl	Kdm4_KO
L1Tf	124	9.837003146	2.968042097	KO_Ctrl	Kdm4_KO
L1Tf	127	22.28587797	8.323008479	KO_Ctrl	Kdm4_KO
L1Tf	22	20.05681818	1.710775926	KO_Ctrl	Kdm4_KO
L1Tf	32	10.36931818	2.389678547	KO_Ctrl	Kdm4_KO
L1Tf	43	17.24822695	5.616711658	KO_Ctrl	Kdm4_KO
L1Tf	63	13.48863963	3.395197352	KO_Ctrl	Kdm4_KO
L1Tf	67	11.56930126	3.720295226	KO_Ctrl	Kdm4_KO
L1Tf	79	16.82403433	1.627365995	KO_Ctrl	Kdm4_KO
RLTR4_MM	113	83.55795148	3.27779731	KO_Ctrl	Kdm4_KO
RLTR4_MM	118	87.42138365	-0.042156595	KO_Ctrl	Kdm4_KO
RLTR4_MM	126	83.91734052	1.15818818	KO_Ctrl	Kdm4_KO
RLTR4_MM	38	85.07194245	0.305701058	KO_Ctrl	Kdm4_KO
RLTR4_MM	41	93.44115004	-2.499121059	KO_Ctrl	Kdm4_KO
RLTR4_MM	43	89.84725966	0.666335508	KO_Ctrl	Kdm4_KO
RLTR4_MM	54	90.02695418	3.806177624	KO_Ctrl	Kdm4_KO
RLTR4_MM	67	84.45642408	2.017005873	KO_Ctrl	Kdm4_KO
RLTR4_MM	71	84.15841584	1.573144013	KO_Ctrl	Kdm4_KO
RLTR4_MM	79	81.40161725	1.871329609	KO_Ctrl	Kdm4_KO
EtnI	102	24.27184466	NA	KO_VC	Kdm4_KO
EtnI	109	41.74757282	NA	KO_VC	Kdm4_KO
EtnI	142	27.18446602	NA	KO_VC	Kdm4_KO
EtnI	27	8.943089431	NA	KO_VC	Kdm4_KO
EtnI	37	21.95121951	NA	KO_VC	Kdm4_KO
EtnI	56	NA	NA	KO_VC	Kdm4_KO
EtnI	68	7.56302521	NA	KO_VC	Kdm4_KO
EtnI	99	32.03883495	NA	KO_VC	Kdm4_KO
IAP1a_2	129	83.01886792	7.948874011	KO_VC	Kdm4_KO
IAP1a_2	22	80	1.012658228	KO_VC	Kdm4_KO
IAP1a_2	31	81.875	9.897151899	KO_VC	Kdm4_KO
IAP1a_2	58	83.64779874	5.384459322	KO_VC	Kdm4_KO
IAP1a_2	66	88.67924528	10.03043214	KO_VC	Kdm4_KO
L1A	119	66.77489177	10.2076005	KO_VC	Kdm4_KO
L1A	128	60.0874795	4.489323011	KO_VC	Kdm4_KO
L1A	135	62.39224138	6.537799773	KO_VC	Kdm4_KO
L1A	142	64.15500538	9.550786519	KO_VC	Kdm4_KO
L1A	29	10.18318966	1.264448949	KO_VC	Kdm4_KO
L1A	47	62.62135922	7.836695332	KO_VC	Kdm4_KO
L1A	49	58.14332248	7.627101516	KO_VC	Kdm4_KO
L1A	51	62.46575342	9.305079909	KO_VC	Kdm4_KO
L1A	66	57.04953729	9.235582378	KO_VC	Kdm4_KO
L1A	90	55.81270183	9.071616936	KO_VC	Kdm4_KO
L1Gf	109	30.02851218	8.605809471	KO_VC	Kdm4_KO
L1Gf	117	34.91396296	9.609594079	KO_VC	Kdm4_KO
L1Gf	22	23.70745648	8.148830943	KO_VC	Kdm4_KO
L1Gf	59	29.69013354	4.472287796	KO_VC	Kdm4_KO
L1Gf	62	34.27053641	9.283418267	KO_VC	Kdm4_KO
L1Gf	65	32.02181535	4.869345205	KO_VC	Kdm4_KO
L1Gf	83	37.52102471	10.93844283	KO_VC	Kdm4_KO
L1Gf	91	39.57523958	9.197582933	KO_VC	Kdm4_KO
L1Gf	93	39.27319922	7.004194955	KO_VC	Kdm4_KO
L1Tf	100	13.55130983	4.909354755	KO_VC	Kdm4_KO
L1Tf	104	10.10575793	5.091982181	KO_VC	Kdm4_KO
L1Tf	117	14.03371227	6.463884564	KO_VC	Kdm4_KO
L1Tf	124	6.371299745	3.04878512	KO_VC	Kdm4_KO
L1Tf	127	13.32417582	10.0987379	KO_VC	Kdm4_KO
L1Tf	22	13.36971351	5.946238274	KO_VC	Kdm4_KO
L1Tf	32	7.245812232	3.721929703	KO_VC	Kdm4_KO
L1Tf	43	12.56809339	6.253785998	KO_VC	Kdm4_KO
L1Tf	63	9.551004332	6.04375947	KO_VC	Kdm4_KO
L1Tf	67	7.588235294	4.646259183	KO_VC	Kdm4_KO
L1Tf	79	11.11982742	5.976125031	KO_VC	Kdm4_KO
RLTR4_MM	113	74.31578947	10.80243028	KO_VC	Kdm4_KO
RLTR4_MM	118	72.81348788	13.27830628	KO_VC	Kdm4_KO
RLTR4_MM	126	71.33825079	13.57134587	KO_VC	Kdm4_KO
RLTR4_MM	38	81.05263158	2.060641527	KO_VC	Kdm4_KO
RLTR4_MM	41	86.52631579	3.049778721	KO_VC	Kdm4_KO
RLTR4_MM	43	88.84210526	-0.811485917	KO_VC	Kdm4_KO
RLTR4_MM	54	81.89473684	7.820343075	KO_VC	Kdm4_KO
RLTR4_MM	67	81.78947368	2.922131597	KO_VC	Kdm4_KO
RLTR4_MM	71	73.36842105	11.62115504	KO_VC	Kdm4_KO
RLTR4_MM	79	69.36842105	9.992246077	KO_VC	Kdm4_KO
EtnI	102	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	109	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	142	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	27	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	37	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	56	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	68	NA	NA	WT_Ctrl	Kdm4_KO
EtnI	99	NA	NA	WT_Ctrl	Kdm4_KO
IAP1a_2	129	84.89208633	5.83639049	WT_Ctrl	Kdm4_KO
IAP1a_2	22	69.78417266	6.189853312	WT_Ctrl	Kdm4_KO
IAP1a_2	31	82.01438849	8.245351771	WT_Ctrl	Kdm4_KO
IAP1a_2	58	84.7826087	0.085812357	WT_Ctrl	Kdm4_KO
IAP1a_2	66	92.02898551	3.365751335	WT_Ctrl	Kdm4_KO
L1A	119	83.73916632	3.386368627	WT_Ctrl	Kdm4_KO
L1A	128	76.18448637	3.975107388	WT_Ctrl	Kdm4_KO
L1A	135	76.99549734	2.912041779	WT_Ctrl	Kdm4_KO
L1A	142	81.24488124	3.006807344	WT_Ctrl	Kdm4_KO
L1A	29	13.86260798	-0.327972101	WT_Ctrl	Kdm4_KO
L1A	47	82.57482575	-1.800127809	WT_Ctrl	Kdm4_KO
L1A	49	79.24217463	-1.316833639	WT_Ctrl	Kdm4_KO
L1A	51	79.57746479	1.306473407	WT_Ctrl	Kdm4_KO
L1A	66	77.66222962	2.516661259	WT_Ctrl	Kdm4_KO
L1A	90	81.49363972	2.694394467	WT_Ctrl	Kdm4_KO
L1Gf	109	11.88792528	3.658829954	WT_Ctrl	Kdm4_KO
L1Gf	117	15.03982719	3.689183401	WT_Ctrl	Kdm4_KO
L1Gf	22	8.857372224	4.014927406	WT_Ctrl	Kdm4_KO
L1Gf	59	12.57844839	1.639682283	WT_Ctrl	Kdm4_KO
L1Gf	62	16.19887731	2.451256914	WT_Ctrl	Kdm4_KO
L1Gf	65	11.68274384	3.117358674	WT_Ctrl	Kdm4_KO
L1Gf	83	16.98692287	4.00656455	WT_Ctrl	Kdm4_KO
L1Gf	91	17.20731545	5.573938545	WT_Ctrl	Kdm4_KO
L1Gf	93	17.03068471	3.786112114	WT_Ctrl	Kdm4_KO
L1Tf	100	4.325103622	1.351649838	WT_Ctrl	Kdm4_KO
L1Tf	104	3.160351948	0.414414407	WT_Ctrl	Kdm4_KO
L1Tf	117	3.865516001	1.023372887	WT_Ctrl	Kdm4_KO
L1Tf	124	1.669658887	0.854885293	WT_Ctrl	Kdm4_KO
L1Tf	127	3.990652526	2.760106643	WT_Ctrl	Kdm4_KO
L1Tf	22	4.377345006	0.780647559	WT_Ctrl	Kdm4_KO
L1Tf	32	1.856811284	0.279246297	WT_Ctrl	Kdm4_KO
L1Tf	43	3.355944306	1.219067306	WT_Ctrl	Kdm4_KO
L1Tf	63	2.179787426	0.591466684	WT_Ctrl	Kdm4_KO
L1Tf	67	1.745232098	0.899898988	WT_Ctrl	Kdm4_KO
L1Tf	79	3.162055336	1.332326687	WT_Ctrl	Kdm4_KO
RLTR4_MM	113	87.06896552	-3.21665235	WT_Ctrl	Kdm4_KO
RLTR4_MM	118	83.8362069	3.435711216	WT_Ctrl	Kdm4_KO
RLTR4_MM	126	81.01402373	5.189803593	WT_Ctrl	Kdm4_KO
RLTR4_MM	38	84.69827586	3.592017994	WT_Ctrl	Kdm4_KO
RLTR4_MM	41	88.68534483	3.440989692	WT_Ctrl	Kdm4_KO
RLTR4_MM	43	91.69363538	-1.845015614	WT_Ctrl	Kdm4_KO
RLTR4_MM	54	87.06896552	4.471550956	WT_Ctrl	Kdm4_KO
RLTR4_MM	67	86.31465517	-2.736551034	WT_Ctrl	Kdm4_KO
RLTR4_MM	71	83.49514563	1.558235152	WT_Ctrl	Kdm4_KO
RLTR4_MM	79	76.26752967	4.10630211	WT_Ctrl	Kdm4_KO
EtnI	102	NA	NA	WT_VC	Kdm4_KO
EtnI	109	NA	NA	WT_VC	Kdm4_KO
EtnI	142	NA	NA	WT_VC	Kdm4_KO
EtnI	27	8.771929825	NA	WT_VC	Kdm4_KO
EtnI	37	16.66666667	NA	WT_VC	Kdm4_KO
EtnI	56	NA	NA	WT_VC	Kdm4_KO
EtnI	68	16.81415929	NA	WT_VC	Kdm4_KO
EtnI	99	NA	NA	WT_VC	Kdm4_KO
IAP1a_2	129	78.48101266	14.1795378	WT_VC	Kdm4_KO
