	VC10-Ctrl_S1.bam	VC11-Ctrl_S3.bam	VC35B-Ctrl_S5.bam	VC35C-Ctrl_S7.bam	VC10-VC_S2.bam	VC11-VC_S4.bam	VC35B-VC_S6.bam	VC35C-VC_S8.bam
Eya1	177	176	72	108	227	269	111	150
Msc	34	37	12	16	34	57	18	26
Gm9947	7	5	0	1	6	6	0	0
Trpa1	25	22	4	17	20	30	6	12
Gm10566	222	190	176	271	187	182	131	187
Kcnb2	0	0	0	0	0	0	0	0
Terf1	837	634	541	945	698	718	382	526
Gm106	0	0	0	0	0	0	0	0
4930444P10Rik	0	0	0	0	1	2	0	0
Rpl7	3960	3351	3324	5370	3606	3584	2411	3663
Rdh10	57	28	29	59	43	57	20	35
Stau2	62	47	31	52	45	50	21	29
Gm7568	0	0	0	0	0	0	0	0
Ube2w	129	94	96	183	125	102	80	127
Tceb1	397	302	320	512	304	298	220	323
Tmem70	134	111	93	174	98	106	82	88
Ly96	6	2	2	1	4	5	0	4
Gm5828	152	123	89	131	130	134	69	111
Jph1	5	3	4	6	13	9	5	0
Gdap1	0	0	0	0	0	0	0	0
Pi15	2	0	0	0	2	0	0	0
Gm16070	0	0	0	0	0	0	0	0
Crispld1	29	22	12	10	57	54	9	16
Crisp4	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0
Gm15386	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0
Tfap2b	0	0	0	0	0	0	0	0
Pkhd1	3	0	7	11	9	21	10	27
4930486I03Rik	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0
Il17f	0	0	0	0	0	0	0	0
Mcm3	3301	2827	2580	4048	2797	3173	1960	2858
Paqr8	118	102	92	135	88	104	58	66
Efhc1	8	6	8	7	7	8	5	5
Tram2	170	128	137	166	160	146	84	122
Tmem14a	23	12	15	20	22	16	7	22
Gsta3	63	36	51	100	80	116	50	94
AC163025.1	0	0	0	0	0	0	0	0
Khdc1a	50	17	0	0	130	106	0	2
Khdc1c	28	10	1	0	100	86	0	1
Khdc1b	0	0	0	0	8	5	0	0
Kcnq5	1	0	0	0	0	1	0	0
Rims1	19	16	9	2	26	31	9	10
4933415F23Rik	0	0	0	0	0	0	0	0
Gm6420	0	0	0	0	0	0	0	0
Ogfrl1	27	15	23	55	25	35	13	33
B3gat2	0	0	0	0	0	0	0	0
Smap1	454	389	330	487	420	424	224	328
1110058L19Rik	38	41	44	89	26	29	23	54
Fam135a	131	111	137	198	116	121	70	98
Col9a1	0	0	0	0	0	0	0	0
Col19a1	3	0	0	0	1	1	1	0
Gm10222	1849	1427	815	1539	1311	1365	656	971
Lmbrd1	153	102	94	152	144	105	69	93
Bai3	0	0	2	0	0	0	0	0
Gm9884	0	0	0	0	0	0	0	0
4931408C20Rik	6	5	0	0	3	5	0	0
Gm597	0	0	0	0	0	0	0	0
Gm6462	0	0	0	0	0	0	0	0
Gm9898	0	0	0	0	0	0	0	0
Phf3	2169	1885	1128	1847	2142	2541	1041	1435
Ptp4a1	556	471	412	560	497	501	290	377
Gm5698	0	0	0	0	0	0	0	0
Gm5699	0	0	0	0	0	0	0	0
4931428L18Rik	0	0	0	0	0	0	0	0
Lgsn	0	0	0	0	0	0	0	0
4930521A18Rik	0	0	0	0	0	0	0	0
AC121888.1	0	0	0	0	0	0	0	0
Gm10307	71	75	69	110	86	78	57	90
Khdrbs2	0	0	0	0	0	0	0	0
Gm9839	0	0	0	0	0	0	0	0
Gm5415	0	0	0	0	0	0	0	0
Prim2	346	296	280	456	327	321	210	296
1700001G17Rik	0	0	0	0	0	0	0	0
Rab23	375	312	233	341	251	273	136	209
Bag2	6	2	7	7	1	2	2	6
Zfp451	634	545	497	621	602	644	355	499
Bend6	9	2	5	11	3	4	0	3
Dst	3754	3368	2652	3510	2873	4095	2165	2704
Ccdc115	114	96	101	155	116	115	73	79
Imp4	499	426	430	699	407	503	291	447
Ptpn18	1	1	2	0	1	1	0	3
Prss39	0	0	0	0	0	0	0	0
Cfc1	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0
1700101I19Rik	0	0	0	0	0	0	0	0
Fam123c	0	0	0	0	0	0	0	0
C230030N03Rik	0	0	0	0	0	0	0	0
Arhgef4	26	28	16	30	23	32	9	25
Fam168b	1217	1005	824	1052	1136	1260	705	858
Plekhb2	313	254	169	299	362	429	215	315
Hs6st1	729	679	463	746	669	799	440	618
Uggt1	1193	1102	915	1332	1019	1240	691	926
Neurl3	1	0	0	2	0	0	0	0
Arid5a	53	35	41	63	33	33	33	43
Kansl3	365	336	285	460	274	367	266	337
Lman2l	128	103	128	105	111	123	83	90
Cnnm4	50	32	38	57	26	49	33	34
Cnnm3	248	228	149	215	245	238	119	174
Ankrd23	5	8	5	5	4	5	5	4
Ankrd39	22	17	24	26	20	18	10	19
Sema4c	30	16	26	36	19	25	6	23
D430040D24Rik	0	0	0	0	0	0	0	0
Fam178b	137	122	141	164	157	154	100	118
Cox5b	254	183	146	339	166	183	121	224
Actr1b	579	454	450	717	476	529	356	507
Zap70	12	12	3	7	8	3	1	7
Tmem131	1288	1071	922	1294	1136	1240	666	816
Rpl12-ps1	131	107	94	187	115	113	65	103
Vwa3b	0	0	0	0	0	0	0	1
Cnga3	19	14	8	17	34	30	11	16
Inpp4a	58	50	49	58	62	47	24	43
4930439A04Rik	0	0	0	0	0	0	0	0
6330578E17Rik	842	732	689	977	738	706	498	603
Unc50	185	142	150	264	145	169	103	166
Mgat4a	38	29	37	80	20	22	28	38
2010300C02Rik	1	0	0	0	0	0	0	0
4930556I23Rik	0	0	0	0	0	0	0	0
Tsga10	24	16	14	28	14	15	15	13
Lipt1	42	36	42	57	36	31	29	46
Mitd1	81	82	75	121	80	74	43	70
Mrpl30	263	209	292	455	221	251	209	301
Lyg2	0	0	0	0	0	0	0	0
Gm15457	0	0	0	0	2	3	0	0
Lyg1	3	1	0	0	1	3	0	0
Txndc9	381	302	306	490	361	373	232	353
Eif5b	1132	928	695	1144	945	1166	506	732
Rev1	737	626	320	404	652	691	184	286
Aff3	22	16	29	38	23	19	25	31
Gm16150	0	0	0	0	0	0	0	0
Gm16151	0	0	0	0	0	0	0	0
Gm16152	0	0	0	0	0	0	0	0
Lonrf2	16	21	17	27	9	18	10	16
Chst10	26	30	28	54	17	17	12	21
Nms	0	0	0	0	0	0	0	0
Pdcl3	169	137	128	231	142	148	79	113
Npas2	1	3	1	1	4	7	0	0
Rpl31	393	325	260	507	301	341	199	320
Tbc1d8	271	223	106	158	239	261	94	140
D1Bwg0212e	650	577	531	847	600	670	380	532
Gm15832	41	50	34	58	53	50	33	44
Rnf149	285	268	251	370	322	295	194	225
Creg2	5	5	3	2	4	4	0	3
Rfx8	0	0	0	0	0	0	0	0
Gm3646	0	0	0	0	0	0	0	0
Map4k4	1701	1555	1390	2126	1419	1752	1124	1516
Il1r2	0	0	0	0	0	1	0	0
Il1r1	4	7	3	10	13	14	5	6
Il1rl2	1	2	1	2	2	1	0	2
Il1rl1	0	0	0	0	0	0	0	0
Il18r1	0	0	0	0	0	0	0	0
Il18rap	0	0	0	0	0	0	0	0
Slc9a4	0	0	0	0	0	0	0	0
Slc9a2	21	7	9	5	15	6	7	3
Mfsd9	16	15	11	26	15	17	8	15
Tmem182	0	0	0	0	0	0	0	0
AC101702.1	0	0	0	0	0	0	0	0
Gm9915	0	0	0	0	0	0	0	0
2610017I09Rik	0	0	0	0	0	0	0	0
Gm20646	0	0	0	0	0	0	0	0
Pou3f3	10	1	1	2	5	4	0	1
Mrps9	360	321	257	460	294	281	190	293
Gpr45	0	0	0	0	0	0	0	0
AC112941.2	0	0	0	0	0	0	0	0
Tgfbrap1	129	76	78	95	106	111	56	89
8430432A02Rik	0	0	0	0	0	0	0	0
AI597479	223	208	183	255	186	220	111	159
Fhl2	0	0	0	2	0	1	0	1
Nck2	192	165	102	173	192	219	80	116
1500015O10Rik	0	0	0	0	0	0	1	0
Uxs1	114	96	90	160	108	119	88	109
Tpp2	1208	1021	827	1177	1128	1220	549	846
A530098C11Rik	0	0	0	0	0	0	0	0
Gm8251	0	0	0	0	1	0	0	0
1700029F09Rik	140	118	144	206	137	121	97	164
Kdelc1	260	209	201	292	234	227	128	205
Bivm	192	188	105	195	180	162	77	125
Ercc5	277	241	117	218	212	255	89	113
4832428D23Rik	0	0	0	0	0	0	0	0
Gulp1	25	23	26	46	20	23	11	26
Col3a1	0	0	0	0	1	1	0	0
Col5a2	191	144	29	46	272	313	63	110
Wdr75	1187	994	1043	1668	1024	1094	797	1168
Slc40a1	33	29	7	7	57	51	10	9
Rpl23a-ps1	2	1	0	0	0	0	1	0
Gm3852	0	0	0	0	0	1	0	1
Gm4776	0	0	0	0	0	0	0	0
Dnahc7b	0	0	2	0	6	2	3	1
Dnahc7c	0	0	0	0	0	0	0	0
Slc39a10	630	585	508	850	598	647	362	529
C230029F24Rik	0	0	0	0	0	0	0	0
Tmeff2	0	0	0	1	2	1	0	0
Sdpr	0	0	0	0	0	0	0	0
Obfc2a	479	291	268	416	426	453	247	366
Myo1b	878	749	554	802	841	947	407	598
Gm8420	445	357	362	662	353	374	227	412
Stat4	22	24	19	61	13	22	19	28
Gm3940	73	69	49	83	73	61	40	57
Stat1	234	218	125	179	169	165	88	111
Gls	519	461	543	774	448	419	381	507
Nab1	63	42	17	28	82	71	26	28
Tmem194b	45	46	46	51	59	39	34	39
Mfsd6	7	11	8	14	15	11	4	9
Inpp1	6	6	4	8	4	8	5	8
Hibch	94	79	82	130	89	79	49	87
1700019D03Rik	395	338	219	306	635	619	287	431
Mstn	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	1	1	0
Pms1	155	117	124	228	113	134	80	113
Ormdl1	112	85	105	140	115	98	77	111
Osgepl1	72	52	70	65	70	82	39	60
Asnsd1	702	598	617	951	763	741	434	612
Dnahc7a	3	1	2	2	6	6	3	2
Stk17b	100	100	85	128	129	117	62	108
Hecw2	3	1	0	0	2	2	2	2
Ccdc150	1	1	0	0	0	3	1	0
Gtf3c3	399	324	266	475	361	371	220	289
Pgap1	648	536	273	390	743	694	150	229
Ankrd44	0	1	2	5	2	0	0	0
Sf3b1	3457	3035	2579	3822	3132	3294	1932	2679
Coq10b	61	61	84	119	67	63	53	80
Hspd1	3508	2850	2556	4124	2818	3202	1722	2844
Hspe1	1068	810	808	1473	800	842	564	870
Mob4	206	201	160	294	190	205	131	177
Rftn2	21	13	5	11	16	13	3	9
Mars2	195	166	152	214	188	186	113	149
Boll	5	1	6	5	3	3	3	1
Plcl1	0	0	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0	0	0
Satb2	147	129	60	95	146	151	48	75
9130024F11Rik	0	0	0	0	0	0	0	0
1700066M21Rik	146	147	136	224	128	127	111	158
1110034B05Rik	88	77	73	115	71	70	68	75
9430016H08Rik	172	156	138	242	163	154	115	201
Spats2l	59	47	55	81	38	72	16	35
Gm17234	0	0	0	0	0	0	0	0
Kctd18	100	84	76	107	95	74	51	82
Sgol2	1026	842	764	1305	864	838	597	892
Aox1	8	15	11	9	9	18	4	8
Aox3	138	109	22	38	277	392	61	85
Aox4	0	6	3	7	10	7	1	5
Gm15759	0	0	0	0	0	0	0	0
Aox3l1	0	0	0	0	0	1	0	0
Bzw1	3026	2541	2675	3933	2601	2632	1852	2755
Clk1	748	638	579	864	592	641	445	693
Ppil3	172	143	153	226	125	149	94	126
Nif3l1	394	309	289	491	267	335	243	329
Orc2	915	737	778	1308	737	720	495	779
Gm15834	3	2	2	2	5	1	1	1
Fam126b	252	200	180	276	225	226	132	193
Ndufb3	121	94	75	171	95	90	59	101
Gm10068	410	364	345	623	304	354	214	348
Als2cr12	0	0	0	1	0	0	0	0
Cflar	41	40	33	44	46	52	37	47
Casp8	26	17	17	21	45	40	25	34
Trak2	302	241	232	377	269	348	195	260
Stradb	29	27	47	50	35	30	23	28
Als2cr11	0	0	0	1	2	0	0	0
Tmem237	38	53	57	74	30	34	31	30
Mpp4	19	20	14	20	23	28	12	22
Als2	480	449	347	519	589	586	302	430
Cdk15	0	0	0	0	0	0	0	0
Fzd7	454	319	360	560	490	395	343	452
Gm973	2	1	3	4	4	4	0	2
Sumo1	583	473	544	774	427	437	339	490
Nop58	2419	1968	1842	3185	1827	1999	1194	2010
Bmpr2	63	48	30	55	56	65	21	24
Fam117b	423	339	299	408	390	389	178	262
Ica1l	0	0	0	0	0	1	0	0
Wdr12	368	301	259	471	275	304	192	280
Carf	22	16	13	28	17	28	9	17
Nbeal1	482	386	378	504	484	482	234	351
Cyp20a1	210	143	193	252	135	180	92	169
Abi2	402	334	319	447	379	401	229	309
Raph1	216	172	156	269	162	201	122	169
Cd28	0	0	0	0	0	0	0	0
Gm11579	0	0	0	0	0	0	0	0
2310016D23Rik	0	0	0	0	0	0	0	0
Ctla4	0	0	0	0	0	0	0	0
Icos	0	0	0	0	0	0	0	0
Gm11587	0	0	0	0	0	0	0	0
9530026F06Rik	0	0	0	0	0	0	0	0
Gm11588	0	0	0	0	0	0	0	0
4930587A21Rik	0	0	0	0	0	0	0	0
Pard3b	4	0	0	2	1	3	1	2
4930448K12Rik	0	0	0	0	0	0	0	0
Gm12747	0	0	0	0	0	0	0	0
Gm11610	0	0	0	0	0	0	0	0
Nrp2	339	355	285	472	226	298	190	218
Ino80d	813	721	609	849	698	783	452	575
Gm11602	1	0	1	0	0	1	0	0
Ndufs1	1064	853	861	1488	947	997	636	978
Eef1b2	6121	4442	3790	6757	4795	5532	2494	4146
Gpr1	0	0	1	0	0	0	0	0
Gm11607	28	21	25	31	20	25	12	18
Gm11608	0	0	0	0	0	0	0	0
Zdbf2	1036	985	1038	1426	714	905	601	777
Adam23	934	718	979	1285	728	790	713	883
Dytn	0	0	0	0	0	0	0	0
Mdh1b	0	0	0	0	0	0	0	0
Fastkd2	483	455	470	658	414	454	340	477
4933402D24Rik	0	0	0	0	0	0	0	0
Gm13749	0	0	0	0	0	0	0	0
Klf7	144	110	98	110	118	122	67	90
Gm13748	0	0	0	0	0	0	0	0
Creb1	437	393	321	461	354	377	209	271
Mettl21a	23	28	31	46	30	34	10	21
2810408I11Rik	25	25	32	47	15	19	15	28
Ccnyl1	174	132	137	195	149	140	123	164
Fzd5	1995	1809	1619	2179	1661	2190	1433	1710
Plekhm3	175	129	100	136	200	233	96	111
Akr1cl	4	2	0	1	7	7	0	0
Cryge	0	0	0	0	1	3	0	0
Crygd	0	0	0	0	0	2	0	1
Crygc	0	0	0	0	1	0	0	0
Crygb	0	0	0	0	0	0	0	0
Cryga	1	0	0	0	7	1	0	0
D630023F18Rik	65	50	27	26	60	60	11	16
Idh1	1635	1195	954	1613	1470	1538	681	1094
Pikfyve	436	364	356	515	396	439	258	377
Pth2r	0	0	0	0	0	0	0	0
Crygf	0	0	0	0	0	0	0	0
Mtap2	48	51	68	101	58	59	44	56
Gm10558	0	0	0	0	0	0	0	0
Unc80	2	1	2	0	3	3	0	0
Rpe	553	496	397	656	819	765	365	606
Kansl1l	41	37	24	52	43	30	26	26
Acadl	94	77	66	106	109	81	54	75
Myl1	0	0	0	0	0	0	0	0
Lancl1	192	166	157	226	180	155	99	180
Cps1	9	5	5	12	13	19	3	9
Gm15668	0	0	0	0	0	0	0	0
Gm15669	0	0	0	0	0	0	0	0
Gm15671	0	0	0	0	0	0	0	0
Erbb4	0	0	0	0	0	0	0	0
Gm16076	0	0	0	0	0	0	0	0
Ikzf2	16	14	12	23	20	21	9	9
Spag16	6	2	2	7	9	3	5	4
Vwc2l	0	0	0	0	0	0	0	0
Bard1	560	488	495	608	489	549	354	500
Abca12	0	0	0	0	0	0	0	0
Atic	2054	1690	1606	2368	1700	1824	1016	1457
Fn1	11793	10822	5475	7823	12477	15293	5315	6830
Apol7d	8	5	7	2	5	2	5	7
Rpl21-ps1	5	4	1	11	3	4	2	4
Mreg	251	201	182	311	225	188	129	240
Pecr	37	34	47	63	32	41	25	45
Tmem169	0	0	0	0	0	0	0	0
Xrcc5	838	717	851	1267	619	702	572	864
Mar-04	0	0	0	0	0	0	0	0
Smarcal1	265	216	203	305	271	286	182	261
Ankar	0	0	0	0	0	0	0	0
Rpl37a	754	631	555	925	685	687	404	641
Igfbp2	653	616	675	1315	443	494	435	804
Igfbp5	23	13	1	0	12	12	1	0
Tnp1	0	0	0	0	0	0	0	0
Tns1	153	169	113	182	117	239	88	139
Rufy4	0	0	0	0	0	0	0	0
Cxcr2	1	0	0	1	0	0	0	2
Cxcr1	0	0	0	0	0	0	0	0
Arpc2	859	693	623	990	676	746	444	634
Gpbar1	0	0	0	0	0	0	0	0
Aamp	984	747	712	1215	746	810	573	778
Pnkd	203	155	157	249	167	164	106	156
Tmbim1	266	212	164	276	191	219	91	142
Gm216	4	5	6	5	3	1	5	5
Slc11a1	2	6	8	9	4	3	1	12
Ctdsp1	354	280	237	372	285	304	187	252
Vil1	0	1	0	0	0	0	2	0
Usp37	1240	1046	835	1202	1012	1187	638	878
Rqcd1	1079	959	866	1274	933	1033	675	895
Plcd4	16	9	0	4	10	7	0	0
Zfp142	438	369	302	376	397	490	231	310
Bcs1l	87	63	64	87	68	95	31	74
Rnf25	151	128	113	181	138	204	93	124
Stk36	20	23	14	18	29	26	10	13
Ttll4	422	401	264	373	386	430	185	228
Cyp27a1	2	4	1	1	4	5	1	1
Prkag3	0	0	0	0	0	0	0	0
Wnt6	12	3	7	10	10	8	8	4
Wnt10a	0	0	0	1	0	0	0	1
Gm16582	0	0	0	0	0	0	0	0
Cdk5r2	31	21	24	37	12	14	14	13
Fev	0	0	0	0	0	0	0	0
Cryba2	0	0	0	0	0	0	0	0
Ccdc108	0	0	0	0	0	0	0	0
Gm15841	0	0	0	0	0	0	0	0
Ihh	0	0	0	1	0	0	0	0
Nhej1	24	18	22	33	21	11	9	16
Slc23a3	0	0	0	0	0	1	0	0
1810031K17Rik	80	58	31	51	83	81	16	45
Fam134a	214	144	127	185	209	176	93	114
Zfand2b	76	57	54	101	43	54	31	40
Abcb6	346	270	241	348	320	353	206	261
Atg9a	94	100	82	156	98	91	51	66
Ankzf1	132	88	112	123	80	89	57	110
Glb1l	70	54	25	40	40	54	23	37
Stk16	223	180	210	263	201	192	160	199
Tuba4a	1400	1042	1203	2102	1070	1284	908	1443
AC166150.1	2	2	0	4	3	0	1	4
Dnajb2	27	19	18	24	12	22	14	18
Ptprn	9	7	12	10	4	5	13	14
Resp18	0	0	0	0	0	0	0	0
Dnpep	434	421	395	640	371	404	289	439
Des	5	3	6	16	9	0	4	13
Gm15179	0	0	0	0	0	0	0	0
Speg	16	11	27	35	9	10	19	16
Gm15178	0	0	0	0	0	0	0	0
Gmppa	149	119	134	194	110	126	114	123
Accn4	0	0	0	0	0	0	0	0
Chpf	216	204	244	373	182	191	174	242
Obsl1	108	69	121	178	64	53	73	81
Tmem198	5	10	14	17	1	3	11	11
Inha	0	0	1	0	1	0	0	0
Stk11ip	222	206	234	256	186	234	186	185
Slc4a3	5	4	15	30	3	6	15	17
Epha4	1864	1597	1132	1574	1766	1998	991	1237
Pax3	6	0	0	0	2	1	0	0
Sgpp2	2	1	2	6	0	2	0	2
Farsb	1129	895	1102	1748	985	1067	825	1175
BC035947	4	5	1	0	11	8	0	0
Mogat1	0	0	0	0	2	3	0	0
Acsl3	821	634	485	918	651	650	344	507
Utp14b	575	513	317	544	597	638	233	369
Kcne4	0	0	0	0	0	0	0	0
Gm5830	59	49	28	65	57	67	23	41
Scg2	0	0	0	0	0	0	0	0
Ap1s3	7	5	9	7	8	6	4	2
Wdfy1	333	264	203	322	326	299	159	229
Mrpl44	247	225	209	339	222	271	168	203
Serpine2	167	94	67	91	152	93	44	52
Gm5529	247	209	232	360	235	217	172	253
Fam124b	7	2	0	0	4	9	2	1
Cul3	1255	1058	787	1200	1174	1248	643	877
Gm6189	7	3	4	2	3	1	2	1
Dock10	12	9	15	19	6	1	3	8
9430031J16Rik	0	0	0	0	0	0	0	0
Irs1	35	15	13	21	22	14	10	10
Gm9747	0	0	0	0	0	0	0	0
Rhbdd1	64	49	73	93	89	73	44	53
Col4a4	0	0	0	0	0	0	0	0
Col4a3	0	0	0	0	0	0	0	0
Mff	469	352	402	659	418	370	263	416
Tm4sf20	0	0	0	0	0	0	0	0
Agfg1	714	636	534	751	610	622	374	556
Slc19a3	27	11	9	6	19	12	9	6
Ccl20	0	0	0	0	0	0	0	0
Wdr69	0	0	0	0	0	0	0	0
Sphkap	4	2	0	1	0	0	0	0
Pid1	287	220	144	169	177	215	99	87
Dner	17	8	8	11	10	13	7	9
Trip12	5263	4785	4361	6105	4810	5650	3279	4730
Fbxo36	5	5	2	6	5	4	4	5
Slc16a14	31	22	17	17	46	39	13	25
C130026I21Rik	0	0	0	0	0	0	0	0
A530032D15Rik	0	0	0	0	0	0	0	0
Gm10553	0	0	0	0	0	0	0	0
A530040E14Rik	0	0	0	0	0	0	0	0
Gm16028	0	0	0	0	0	0	0	0
Gm16025	0	0	0	0	0	0	0	0
Gm16092	5	5	2	6	3	2	2	1
AC147806.1	0	0	0	0	0	0	0	0
Sp110	0	0	0	0	0	0	0	0
Gm16094	0	0	0	0	0	0	0	0
Sp140	0	0	0	0	0	0	0	0
Gm17017	1	1	1	5	2	2	0	1
Sp100	1	3	0	0	1	1	0	0
A630001G21Rik	1	4	5	0	5	4	0	2
Cab39	806	680	521	824	692	706	375	529
Itm2c	376	284	145	234	344	371	99	131
4933407L21Rik	0	0	0	0	0	0	0	0
Gpr55	0	0	0	0	0	0	0	0
Spata3	0	0	0	0	0	0	0	0
2810459M11Rik	0	0	0	0	0	0	0	0
Psmd1	2237	1815	1674	2685	1757	1899	1196	1747
Htr2b	0	0	0	0	0	0	0	0
RP24-308M3.1	285	221	152	313	194	244	121	163
Armc9	232	152	144	168	183	228	112	129
Gm16341	0	0	0	0	0	0	0	0
B3gnt7	639	443	406	497	633	629	343	419
Gm5258	0	0	0	0	0	0	0	0
Ncl	12666	10012	8355	15030	9549	11373	6154	9307
C130036L24Rik	5	6	2	7	15	9	3	5
Nmur1	0	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0
Ptma	6413	5389	5241	8476	4826	5523	3605	5364
Pde6d	97	108	84	122	81	80	67	79
Cops7b	326	238	243	371	253	279	203	291
Nppc	0	0	0	0	0	0	0	0
Dis3l2	206	168	120	213	163	176	93	152
Alppl2	0	0	0	0	0	0	0	0
Alpi	0	0	0	0	0	0	0	0
Akp3	0	0	0	0	0	0	0	0
Ecel1	0	0	0	0	0	0	0	1
Prss56	0	2	0	0	0	0	1	0
Chrnd	1	1	2	10	0	0	0	1
Chrng	0	0	0	0	0	0	0	0
Eif4e2	1226	1030	1100	1541	953	1103	731	1029
Efhd1	2	7	2	8	0	5	0	2
Gm16535	0	0	0	0	0	0	0	0
Gigyf2	1124	909	640	1057	1001	1080	469	679
Kcnj13	0	0	0	0	0	0	0	0
3110079O15Rik	0	0	0	0	0	0	0	0
Ngef	2	0	0	1	0	0	0	0
Neu2	0	0	0	0	0	0	0	0
Inpp5d	1426	1127	641	868	1485	1631	629	892
Atg16l1	460	424	408	558	403	420	296	370
5830472F04Rik	0	0	0	0	0	0	0	0
Sag	2	2	1	5	0	1	1	4
Dgkd	410	357	316	456	371	352	216	344
Usp40	126	118	84	109	139	123	67	98
Ugt1a10	1	1	1	0	6	7	1	1
Gm20528	0	0	0	0	0	0	0	0
Ugt1a9	1	1	1	0	6	7	1	1
Ugt1a8	1	1	1	0	6	7	1	1
Ugt1a7c	1	1	1	0	6	7	1	1
Ugt1a6b	1	2	2	0	7	9	1	2
Ugt1a6a	2	2	2	0	8	9	2	2
Ugt1a5	1	1	1	0	6	7	1	1
Ugt1a2	1	1	1	0	6	7	1	1
Dnajb3	3	4	0	0	0	2	2	1
Ugt1a1	1	1	1	0	6	8	1	1
Heatr7b1	0	0	0	0	0	0	0	0
Hjurp	1160	1115	1017	1276	1079	1369	776	994
Trpm8	0	0	0	0	0	0	0	0
4930453O03Rik	0	0	0	0	0	0	0	0
Spp2	0	0	0	0	0	0	0	0
Glrp1	0	0	0	0	0	0	0	0
Arl4c	73	53	33	54	114	77	41	36
Sh3bp4	294	228	183	259	272	268	141	222
Agap1	605	544	417	546	529	581	250	375
Gbx2	457	313	155	174	512	439	130	165
D130058E05Rik	30	14	17	16	30	12	16	14
Asb18	0	0	0	0	0	0	0	0
Iqca	6	0	0	0	8	5	1	5
Cxcr7	98	71	43	92	53	56	32	45
Cops8	433	359	359	531	368	386	271	369
Gm9991	0	0	0	0	0	0	0	0
Col6a3	1	0	0	0	6	7	6	8
Mlph	0	0	0	0	0	0	1	1
Prlh	0	0	0	0	0	0	0	0
Rab17	0	2	7	3	3	2	1	3
Lrrfip1	17	5	24	18	11	12	10	11
Rbm44	6	8	8	8	12	16	16	26
Ramp1	0	0	0	0	0	0	0	0
Ube2f	124	110	112	182	102	110	70	101
Scly	93	68	58	97	57	87	41	68
Gm17090	0	0	0	0	0	0	0	0
Espnl	0	0	0	0	0	3	0	1
Klhl30	0	0	0	0	0	0	0	0
Fam132b	5	2	2	4	1	1	0	4
Ilkap	175	145	137	207	150	142	113	131
Hes6	65	54	47	80	33	36	35	45
Per2	2	0	0	4	1	0	0	1
Traf3ip1	121	118	98	163	113	122	78	94
Asb1	248	204	186	220	222	208	133	178
Twist2	0	0	0	0	0	0	0	0
